"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_act_list","female_repress_list","male_act_list","male_repress_list"
"GO:0006805","GO:0006805",6,"GO:0071222",0.259,132,132,"xenobiotic metabolic process","cellular response to lipopolysaccharide",TRUE,TRUE,TRUE,TRUE
"GO:0071466","GO:0071466",6,"GO:0071222",0.308,65,65,"cellular response to xenobiotic stimulus","cellular response to lipopolysaccharide",TRUE,TRUE,TRUE,TRUE
"GO:0009410","GO:0009410",5,"GO:0009410",1,240,240,"response to xenobiotic stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0070887","GO:0070887",6,"GO:0071222",0.401,0,0,"cellular response to chemical stimulus","cellular response to lipopolysaccharide",TRUE,TRUE,TRUE,TRUE
"GO:0045944","GO:0045944",1,"GO:0006357",0.839,1507,1507,"positive regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006357","GO:0006357",1,"GO:0006357",1,1793,1793,"regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006366","GO:0006366",1,"GO:0006357",0.695,248,248,"transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0032787","GO:0032787",7,"GO:0006629",0.297,3,3,"monocarboxylic acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0006082","GO:0006082",7,"GO:0006629",0.4,21,21,"organic acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0019752","GO:0019752",7,"GO:0006629",0.322,9,9,"carboxylic acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0043436","GO:0043436",7,"GO:0006629",0.356,0,0,"oxoacid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
